id	organism_name	kingdom	sequence_length	cleavage_site	validation_n	sp_type	transmembrane
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24.0	3	1	
Q99372	Rattus norvegicus	Metazoa	870	27.0	2	1	
P80915	Macadamia integrifolia	Viridiplantae	102	26.0	5	1	
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21.0	3	1	
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19.0	2	1	
P15261	Mus musculus	Metazoa	477	25.0	3	1	
P11215	Homo sapiens	Metazoa	1152	16.0	2	1	
Q07092	Homo sapiens	Metazoa	1604	21.0	1	1	
Q9NPR2	Homo sapiens	Metazoa	837	43.0	2	1	
Q4V645	Drosophila melanogaster	Metazoa	108	29.0	4	1	
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23.0	4	1	
O60931	Homo sapiens	Metazoa	367	22.0	1	1	
Q96F46	Homo sapiens	Metazoa	866	32.0	2	1	
P01903	Homo sapiens	Metazoa	254	25.0	1	1	
P30440	Felis catus	Metazoa	109	17.0	3	1	
P06865	Homo sapiens	Metazoa	529	22.0	1	1	
P10257	Oncorhynchus keta	Metazoa	137	24.0	4	1	
P10764	Ovis aries	Metazoa	179	24.0	3	1	
A5HAK0	Danio rerio	Metazoa	149	22.0	3	1	
P30986	Eschscholzia californica	Viridiplantae	538	23.0	3	1	
P67861	Daboia russelii	Metazoa	144	24.0	3	1	
Q95NY5	Anopheles stephensi	Metazoa	315	18.0	4	1	
P02765	Homo sapiens	Metazoa	367	18.0	1	1	
Q61885	Mus musculus	Metazoa	246	28.0	2	1	
Q8VCS0	Mus musculus	Metazoa	530	22.0	2	1	
P81999	Canis lupus familiaris	Metazoa	358	22.0	5	1	
P20462	Notamacropus eugenii	Metazoa	176	18.0	5	1	
P30919	Rattus norvegicus	Metazoa	345	23.0	2	1	
B0JFB8	Antheraea mylitta	Metazoa	105	19.0	5	1	
Q969P0	Homo sapiens	Metazoa	613	27.0	2	1	
Q99013	Pseudopleuronectes americanus	Metazoa	82	23.0	4	1	
C4NZN9	Hyas araneus	Metazoa	131	16.0	4	1	
Q08481	Mus musculus	Metazoa	727	17.0	2	1	
P17697	Bos taurus	Metazoa	439	19.0	2	1	
P01221	Cyprinus carpio	Metazoa	118	23.0	4	1	
O75629	Homo sapiens	Metazoa	220	31.0	1	1	
P02743	Homo sapiens	Metazoa	223	19.0	1	1	
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18.0	4	1	
P05790	Bombyx mori	Metazoa	5263	21.0	4	1	
L8BRS3	Morus alba	Viridiplantae	209	18.0	4	1	
O70280	Rattus norvegicus	Metazoa	212	26.0	4	1	
Q28173	Bos taurus	Metazoa	416	22.0	2	1	
O18998	Oryctolagus cuniculus	Metazoa	281	21.0	3	1	
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20.0	4	1	
Q8NC67	Homo sapiens	Metazoa	525	22.0	2	1	
P0DPU3	Scolopendra dehaani	Metazoa	577	25.0	5	1	
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26.0	3	1	
P09586	Mus musculus	Metazoa	222	31.0	5	1	
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24.0	2	1	
P19324	Mus musculus	Metazoa	417	17.0	3	1	
P83472	Lumbricus terrestris	Metazoa	86	22.0	5	1	
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20.0	5	1	
P15570	Phytophthora cryptogea	Other	118	20.0	5	1	
P28088	Bos taurus	Metazoa	441	26.0	3	1	
O62605	Galleria mellonella	Metazoa	218	16.0	5	1	
P07439	Megabalanus rosa	Metazoa	162	24.0	5	1	
P23438	Canis lupus familiaris	Metazoa	183	17.0	5	1	
Q6UWY5	Homo sapiens	Metazoa	402	28.0	4	1	
P86407	Mesobuthus eupeus	Metazoa	75	22.0	4	1	
P17813	Homo sapiens	Metazoa	658	25.0	2	1	
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	21.0	4	1	
P47710	Homo sapiens	Metazoa	185	15.0	1	1	
Q9BX59	Homo sapiens	Metazoa	468	18.0	2	1	
Q969H8	Homo sapiens	Metazoa	173	31.0	2	1	
P86009	Dromaius novaehollandiae	Metazoa	238	17.0	5	1	
P45478	Bos taurus	Metazoa	306	27.0	2	1	
Q8WWA0	Homo sapiens	Metazoa	313	18.0	1	1	
P17715	Octodon degus	Metazoa	109	24.0	3	1	
Q9GZX6	Homo sapiens	Metazoa	179	33.0	1	1	
Q53B52	Ophiophagus hannah	Metazoa	78	21.0	5	1	
Q5UCC4	Homo sapiens	Metazoa	262	25.0	2	1	
O95813	Homo sapiens	Metazoa	267	17.0	1	1	
Q60GF7	Rattus norvegicus	Metazoa	252	22.0	4	1	
P20013	Trametes versicolor	Fungi	372	26.0	4	1	
P08833	Homo sapiens	Metazoa	259	25.0	1	1	
O61668	Olivierus martensii	Metazoa	88	18.0	3	1	
P0DQE1	Scolopendra dehaani	Metazoa	109	23.0	5	1	
Q8TCT8	Homo sapiens	Metazoa	520	25.0	2	1	
D7UQ40	Alternaria solani	Fungi	515	25.0	4	1	
P29241	Aplysia californica	Metazoa	282	24.0	3	1	
P21570	Mus musculus	Metazoa	145	24.0	3	1	
Q99519	Homo sapiens	Metazoa	415	47.0	2	1	
Q8SXL2	Drosophila melanogaster	Metazoa	136	24.0	2	1	
Q41161	Robinia pseudoacacia	Viridiplantae	285	31.0	4	1	
P27613	Trichostrongylus colubriformis	Metazoa	173	15.0	5	1	
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29.0	5	1	
O08795	Mus musculus	Metazoa	521	14.0	2	1	
C7G3K3	Liocheles australasiae	Metazoa	80	21.0	3	1	
P04706	Zea mays	Viridiplantae	223	19.0	5	1	
Q9Y5Q6	Homo sapiens	Metazoa	135	22.0	1	1	
Q9QYH7	Rattus norvegicus	Metazoa	117	23.0	3	1	
P59665	Homo sapiens	Metazoa	94	19.0	1	1	
Q6XE38	Homo sapiens	Metazoa	83	21.0	4	1	
P55899	Homo sapiens	Metazoa	365	23.0	2	1	
A1BQQ5	Conus marmoreus	Metazoa	289	24.0	4	1	
Q50KB1	Emiliania huxleyi	Other	223	17.0	5	1	
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17.0	2	1	
P19069	Cavia porcellus	Metazoa	1742	19.0	3	1	
P02760	Homo sapiens	Metazoa	352	19.0	1	1	
O76818	Agrotis ipsilon	Metazoa	193	19.0	3	1	
Q9UKZ9	Homo sapiens	Metazoa	415	23.0	2	1	
Q99944	Homo sapiens	Metazoa	293	25.0	1	1	
Q05443	Bos taurus	Metazoa	342	18.0	4	1	
Q95P90	Olivierus martensii	Metazoa	94	22.0	3	1	
P0DUS5	Doratifera vulnerans	Metazoa	57	24.0	5	1	
Q8HYA9	Sus scrofa	Metazoa	185	20.0	5	1	
Q08738	Bombyx mori	Metazoa	239	16.0	5	1	
P14214	Tachypleus tridentatus	Metazoa	77	23.0	5	1	
P11717	Homo sapiens	Metazoa	2491	40.0	2	1	
Q7KRU8	Drosophila melanogaster	Metazoa	205	19.0	2	1	
P19034	Bos taurus	Metazoa	101	22.0	4	1	
P28770	Oncorhynchus mykiss	Metazoa	221	21.0	5	1	
P20656	Saponaria officinalis	Viridiplantae	299	24.0	4	1	
P13727	Homo sapiens	Metazoa	222	16.0	1	1	
Q8WP90	Solenopsis invicta	Metazoa	153	19.0	3	1	
P01027	Mus musculus	Metazoa	1663	24.0	2	1	
Q6UW10	Homo sapiens	Metazoa	78	19.0	4	1	
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	29.0	3	1	
Q6UW32	Homo sapiens	Metazoa	110	24.0	4	1	
Q28989	Sus scrofa	Metazoa	421	26.0	3	1	
P55000	Homo sapiens	Metazoa	103	22.0	1	1	
Q8NI17	Homo sapiens	Metazoa	732	19.0	1	1	
O75462	Homo sapiens	Metazoa	422	37.0	2	1	
P01139	Mus musculus	Metazoa	241	18.0	2	1	
P16882	Mus musculus	Metazoa	650	24.0	2	1	
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22.0	2	1	
P01068	Ananas comosus	Viridiplantae	246	19.0	4	1	
P0DQB8	Scolopendra dehaani	Metazoa	73	20.0	5	1	
P24792	Cucurbita maxima	Viridiplantae	579	30.0	4	1	
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19.0	3	1	
Q3UN54	Mus musculus	Metazoa	99	21.0	4	1	
P49256	Canis lupus familiaris	Metazoa	356	44.0	3	1	
O60602	Homo sapiens	Metazoa	858	20.0	1	1	
Q7Z1K3	Anisakis simplex	Metazoa	194	23.0	5	1	
E0XKJ8	Tabanus yao	Metazoa	256	16.0	5	1	
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24.0	4	1	
P02810	Homo sapiens	Metazoa	166	16.0	2	1	
Q25055	Holotrichia diomphalia	Metazoa	104	20.0	5	1	
P01131	Bos taurus	Metazoa	845	21.0	2	1	
Q9ZT66	Zea mays	Viridiplantae	303	43.0	5	1	
Q969Z4	Homo sapiens	Metazoa	430	25.0	2	1	
Q9NSA1	Homo sapiens	Metazoa	209	28.0	2	1	
P08796	Dictyostelium discoideum	Other	514	19.0	2	1	
C9K4X8	Patiria pectinifera	Metazoa	116	29.0	3	1	
Q9NQ34	Homo sapiens	Metazoa	198	33.0	2	1	
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17.0	2	1	
Q6UX52	Homo sapiens	Metazoa	265	20.0	4	1	
A7VN15	Protobothrops flavoviridis	Metazoa	79	19.0	5	1	
O95715	Homo sapiens	Metazoa	111	34.0	2	1	
P42660	Aedes aegypti	Metazoa	471	19.0	4	1	
Q63415	Rattus norvegicus	Metazoa	937	45.0	3	1	
P05164	Homo sapiens	Metazoa	745	48.0	1	1	
Q13007	Homo sapiens	Metazoa	206	51.0	1	1	
Q02083	Homo sapiens	Metazoa	359	28.0	1	1	
Q63191	Rattus norvegicus	Metazoa	1216	21.0	4	1	
P10124	Homo sapiens	Metazoa	158	27.0	2	1	
P51460	Homo sapiens	Metazoa	131	20.0	1	1	
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51.0	3	1	
Q86R84	Dermatophagoides farinae	Metazoa	462	25.0	5	1	
P14925	Rattus norvegicus	Metazoa	976	25.0	2	1	
P14770	Homo sapiens	Metazoa	177	16.0	1	1	
P26842	Homo sapiens	Metazoa	260	19.0	1	1	
P33577	Petromyzon marinus	Metazoa	119	19.0	5	1	
P20160	Homo sapiens	Metazoa	251	19.0	1	1	
Q8WML4	Bos taurus	Metazoa	580	22.0	3	1	
P0CS93	Gibberella zeae	Fungi	680	24.0	3	1	
O48818	Arabidopsis thaliana	Viridiplantae	257	20.0	4	1	
P24817	Momordica charantia	Viridiplantae	286	23.0	4	1	
P04639	Rattus norvegicus	Metazoa	259	18.0	3	1	
C0H9B6	Salmo salar	Metazoa	413	19.0	3	1	
O55038	Mus musculus	Metazoa	109	21.0	2	1	
P13204	Bos taurus	Metazoa	129	26.0	4	1	
P02649	Homo sapiens	Metazoa	317	18.0	1	1	
Q9Y279	Homo sapiens	Metazoa	399	19.0	2	1	
P30659	Lutzomyia longipalpis	Metazoa	86	23.0	3	1	
Q8NAC3	Homo sapiens	Metazoa	791	20.0	1	1	
Q15399	Homo sapiens	Metazoa	786	24.0	1	1	
Q9TRM8	Canis lupus familiaris	Metazoa	177	25.0	4	1	
P18417	Catharanthus roseus	Viridiplantae	352	31.0	4	1	
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25.0	2	1	
O97939	Sus scrofa	Metazoa	1142	38.0	3	1	
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15.0	3	1	
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23.0	5	1	
Q13231	Homo sapiens	Metazoa	466	21.0	2	1	
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19.0	3	1	
P18428	Homo sapiens	Metazoa	481	25.0	2	1	
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23.0	3	1	
Q9P246	Homo sapiens	Metazoa	746	14.0	2	1	
Q3L1D1	Agaricus bisporus	Fungi	594	25.0	3	1	
P27797	Homo sapiens	Metazoa	417	17.0	1	1	
P31608	Sagittaria sagittifolia	Viridiplantae	181	24.0	5	1	
P33487	Arabidopsis thaliana	Viridiplantae	198	33.0	3	1	
E0XKJ9	Tabanus yao	Metazoa	349	25.0	4	1	
Q9Y4X3	Homo sapiens	Metazoa	112	24.0	1	1	
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20.0	3	1	
P02779	Oryctolagus cuniculus	Metazoa	91	21.0	3	1	
P00450	Homo sapiens	Metazoa	1065	19.0	2	1	
I1SB12	Microdochium nivale	Fungi	495	22.0	3	1	
Q15768	Homo sapiens	Metazoa	340	27.0	2	1	
P0C8G6	Pomacea canaliculata	Metazoa	565	26.0	3	1	
P04275	Homo sapiens	Metazoa	2813	22.0	1	1	
Q9V496	Drosophila melanogaster	Metazoa	3351	25.0	3	1	
P20062	Homo sapiens	Metazoa	427	18.0	1	1	
P84843	Hybomitra bimaculata	Metazoa	76	20.0	4	1	
Q28143	Bos taurus	Metazoa	456	35.0	2	1	
P19876	Homo sapiens	Metazoa	107	34.0	1	1	
Q8X150	Gaeumannomyces tritici	Fungi	618	16.0	3	1	
Q8T4J9	Manduca sexta	Metazoa	180	15.0	5	1	
P80686	Tenebrio molitor	Metazoa	211	16.0	5	1	
Q9P2K2	Homo sapiens	Metazoa	825	27.0	2	1	
P28825	Mus musculus	Metazoa	747	20.0	3	1	
Q07654	Homo sapiens	Metazoa	80	21.0	2	1	
A4LAR6	Grifola frondosa	Fungi	107	24.0	5	1	
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15.0	3	1	
O62644	Bos taurus	Metazoa	151	18.0	5	1	
Q9BWV1	Homo sapiens	Metazoa	1114	30.0	2	1	
Q43413	Capsicum annuum	Viridiplantae	75	27.0	5	1	
A9UGV6	Oryza sativa subsp. japonica	Viridiplantae	61	26.0	5	1	
P10762	Locusta migratoria	Metazoa	179	16.0	4	1	
Q25589	Faxonius limosus	Metazoa	135	26.0	5	1	
O76076	Homo sapiens	Metazoa	250	23.0	1	1	
Q06KA5	Phlebotomus duboscqi	Metazoa	142	20.0	5	1	
K9L4P7	Penicillium chrysogenum	Fungi	604	18.0	3	1	
P09479	Gallus gallus	Metazoa	456	20.0	3	1	
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24.0	3	1	
P35053	Rattus norvegicus	Metazoa	558	23.0	3	1	
P18684	Protophormia terraenovae	Metazoa	101	18.0	5	1	
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17.0	5	1	
P02774	Homo sapiens	Metazoa	474	16.0	1	1	
P09470	Mus musculus	Metazoa	1312	34.0	2	1	
Q6UXH1	Homo sapiens	Metazoa	353	24.0	1	1	
Q875I9	Aspergillus fumigatus	Fungi	238	17.0	4	1	
P12729	Dictyostelium discoideum	Other	168	19.0	2	1	
Q805F3	Xenopus laevis	Metazoa	397	16.0	3	1	
Q96BF3	Homo sapiens	Metazoa	282	22.0	2	1	
Q00954	Rattus norvegicus	Metazoa	218	18.0	2	1	
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19.0	3	1	
O64392	Triticum aestivum	Viridiplantae	146	21.0	3	1	
P0DPU8	Scolopendra dehaani	Metazoa	105	24.0	5	1	
